RELEASENUMBER,familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employmnt,salaryamnt,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,age2,logage,worknow,retired
2,5620,1,59,2,3,0,5,0,1,1,0,1,0,1,59,4.0775375,0,0
2,8559,1,57,2,1,1,1,0,1,3,0,1,0,1,57,4.0430512,1,0
2,6510,1,43,3,3,0,5,0,0,0,0,1,0,0,43,3.7612002,0,0
2,9172,1,42,3,1,0,1,0,1,1,1,0,0,0,42,3.7376697,1,0
2,7682,4,27,3,2,0,1,0,1,1,0,1,0,0,27,3.2958369,1,0
2,9421,2,27,1,2,0,1,0,0,0,0,0,0,1,27,3.2958369,1,0
2,6393,2,25,2,3,0,6,0,1,1,0,1,0,1,25,3.2188759,0,0
2,4293,5,35,1,3,0,3,0,1,1,0,1,0,1,35,3.5553482,0,0
2,8691,2,34,2,1,0,1,0,1,2,0,1,0,1,34,3.5263605,1,0
2,8276,3,55,1,1,1,1,0,1,3,0,1,0,1,55,4.0073333,1,0
2,3859,2,50,1,1,1,5,0,1,2,0,1,0,1,50,3.9120231,0,0
2,4162,4,22,3,1,0,1,0,1,3,0,1,0,0,22,3.0910425,1,0
2,3894,2,61,2,1,1,1,0,1,4,0,1,0,1,61,4.1108737,1,0
2,4308,3,39,1,1,1,1,0,1,2,0,1,0,1,39,3.6635616,1,0
2,4039,2,66,3,4,1,4,0,1,2,0,1,0,0,66,4.1896548,0,1
2,4043,2,62,1,1,1,1,180000,1,2,0,1,1,1,62,4.1271343,1,0
2,9110,4,43,2,1,1,1,125000,1,2,0,1,1,1,43,3.7612002,1,0
2,7810,5,36,2,1,0,1,1500,1,3,0,1,1,1,36,3.583519,1,0
2,8286,4,35,1,1,1,1,0,1,3,0,1,1,1,35,3.5553482,1,0
2,5702,1,33,1,1,1,1,135000,1,3,0,1,0,1,33,3.4965076,1,0
2,4056,2,72,3,1,1,2,0,1,4,0,1,0,0,72,4.2766662,0,0
2,6322,5,43,2,1,1,1,157000,1,3,0,1,1,1,43,3.7612002,1,0
2,3802,1,62,3,1,0,5,0,1,1,0,0,0,0,62,4.1271343,0,0
2,4360,2,61,2,1,0,6,0,0,0,0,1,0,1,61,4.1108737,0,0
2,3831,2,43,3,4,1,1,0,1,1,0,0,0,0,43,3.7612002,1,0
2,4371,3,42,3,1,0,3,0,1,1,0,1,0,0,42,3.7376697,0,0
2,4984,1,42,3,1,0,1,0,0,0,0,1,0,0,42,3.7376697,1,0
